Metodo,Tempo de Execucao (ms),Consumo de Memoria (KB),Versao Python
bubbleSortPy,11546.822547912598,67368.0,3.11.1
bubbleSortPy,8668.829441070557,67784.0,3.11.1
bubbleSortPy,8452.56519317627,68288.0,3.11.1
bubbleSortPy,8993.218660354614,54844.0,3.11.1
bubbleSortPy,8176.88250541687,37312.0,3.11.1
bubbleSortPy,8030.984163284302,27568.0,3.11.1
bubbleSortPy,7283.69927406311,27612.0,3.11.1
bubbleSortPy,7299.017667770386,27640.0,3.11.1
bubbleSortPy,7303.765773773193,27688.0,3.11.1
bubbleSortPy,7354.27188873291,27748.0,3.11.1
mergeSortPy,6909.768104553223,67620.0,3.11.1
mergeSortPy,5373.005151748657,68704.0,3.11.1
mergeSortPy,5034.647703170776,57956.0,3.11.1
mergeSortPy,5090.306520462036,57968.0,3.11.1
mergeSortPy,5497.366666793823,41616.0,3.11.1
mergeSortPy,5140.415668487549,41620.0,3.11.1
mergeSortPy,4735.545635223389,41632.0,3.11.1
mergeSortPy,5316.049098968506,28820.0,3.11.1
mergeSortPy,4843.136310577393,28892.0,3.11.1
mergeSortPy,4815.68717956543,28984.0,3.11.1
